iter	Logloss
0	0.6822409968
1	0.6718341755
2	0.6611121956
3	0.6516303235
4	0.6412177842
5	0.6317695439
6	0.6226257758
7	0.6138940899
8	0.6055212203
9	0.5978641742
10	0.5910394895
11	0.5844514915
12	0.5776172843
13	0.5712365328
14	0.5647972019
15	0.5586438318
16	0.5527698115
17	0.5473822859
18	0.5428264237
19	0.538130928
20	0.5333219606
21	0.5284814248
22	0.5237853967
23	0.5199624676
24	0.5155943741
25	0.5121022069
26	0.5089196116
27	0.5052586469
28	0.5017899892
29	0.4982099383
30	0.4949832111
31	0.491727634
32	0.4889447735
33	0.4857014505
34	0.4829224868
35	0.480830521
36	0.4782538293
37	0.4756061384
38	0.4729365523
39	0.4706887698
40	0.4686327943
41	0.4663544072
42	0.4639723283
43	0.4618287938
44	0.4598120343
45	0.4576979163
46	0.4562417907
47	0.4542569913
48	0.4523071167
49	0.4513124838
50	0.4498390452
51	0.4481915337
52	0.4468977046
53	0.445370944
54	0.4440896049
55	0.4427728809
56	0.441428837
57	0.4400842276
58	0.4388292992
59	0.4375906216
60	0.4364957231
61	0.4352650054
62	0.4341599654
63	0.4330491419
64	0.432102515
65	0.4309379345
66	0.4297262914
67	0.4287702476
68	0.4278702291
69	0.4267918633
70	0.4258575577
71	0.424881587
72	0.4238192387
73	0.4228486323
74	0.4221707385
75	0.4213429733
76	0.4204431237
77	0.4196738249
78	0.4189893946
79	0.4181237466
80	0.4175285518
81	0.4168632983
82	0.4161104885
83	0.4153048865
84	0.4147686332
85	0.4143779442
86	0.4138591013
87	0.4132090099
88	0.4125683834
89	0.4120337539
90	0.4114764906
91	0.410868356
92	0.4104178005
93	0.4099324319
94	0.4093220909
95	0.4086631723
96	0.4080792743
97	0.4073741017
98	0.4067892451
99	0.4062149826
100	0.4058514062
101	0.4052711083
102	0.4048729069
103	0.4043372913
104	0.403751865
105	0.4031438355
106	0.4026845248
107	0.4022346181
108	0.4018036564
109	0.4014231078
110	0.4010157433
111	0.400600101
112	0.4002155635
113	0.3998295097
114	0.3993478825
115	0.39890568
116	0.3985409972
117	0.3982123002
118	0.3978624975
119	0.3976021312
120	0.3972006297
121	0.3968122381
122	0.3965178945
123	0.3961943106
124	0.3958577705
125	0.3954388898
126	0.3950262337
127	0.3946652826
128	0.3944287856
129	0.3939686957
130	0.3936630359
131	0.3933008806
132	0.3929484405
133	0.3925781818
134	0.3923196885
135	0.3919697381
136	0.3916283605
137	0.391374028
138	0.3910470154
139	0.3907584071
140	0.3904756039
141	0.3900851055
142	0.3897835538
143	0.3895221203
144	0.3891468549
145	0.3888788513
146	0.3886680633
147	0.3883502284
148	0.3880607286
149	0.3878238134
150	0.3875551038
151	0.3871253767
152	0.3867755541
153	0.3864460859
154	0.3862399248
155	0.385981352
156	0.3855770082
157	0.3852935757
158	0.3850128666
159	0.3846998776
160	0.384339764
161	0.3840701797
162	0.3837164839
163	0.3834436985
164	0.3831692505
165	0.3828125113
166	0.3826215647
167	0.382498659
168	0.3822146967
169	0.3820686601
170	0.3818118928
171	0.3815753279
172	0.3813607532
173	0.381212337
174	0.3809185837
175	0.3807354919
176	0.3805639734
177	0.3803169548
178	0.3800349593
179	0.3797480581
180	0.3794728537
181	0.3791741398
182	0.3790450825
183	0.378823363
184	0.3785677693
185	0.3782726278
186	0.3781072096
187	0.377977406
188	0.3777702601
189	0.3773541583
190	0.3771443161
191	0.3769527532
192	0.3767372946
193	0.3765114086
194	0.3762035888
195	0.3760453514
196	0.3758456473
197	0.3755948028
198	0.3754143248
199	0.3752274927
200	0.375001121
201	0.3747150474
202	0.3744561594
203	0.3742854704
204	0.3740267501
205	0.3737436921
206	0.3735808105
207	0.3733543471
208	0.3732004243
209	0.3729639917
210	0.3725884204
211	0.3724222627
212	0.3722565279
213	0.3720132002
214	0.3718018165
215	0.3715679047
216	0.3713660303
217	0.3711893912
218	0.3709815117
219	0.3707910424
220	0.3706129265
221	0.3704728742
222	0.3702564225
223	0.3700196821
224	0.3697469192
225	0.3695302806
226	0.3692470463
227	0.3690117017
228	0.368896239
229	0.3687448985
230	0.3684629443
231	0.3682533732
232	0.3681056742
233	0.3679664525
234	0.367879044
235	0.3676568931
236	0.3675464582
237	0.3673503396
238	0.3671382208
239	0.3670377648
240	0.3668529677
241	0.3666903042
242	0.3664119707
243	0.3661006937
244	0.365903245
245	0.3657038085
246	0.3653915174
247	0.3651715823
248	0.3650186657
249	0.3648136086
250	0.364592998
251	0.3643929094
252	0.3642445583
253	0.364077296
254	0.3639089919
255	0.3637507941
256	0.3635739334
257	0.3634176086
258	0.3632060809
259	0.3629516124
260	0.3627904068
261	0.3625909147
262	0.362268602
263	0.3621518169
264	0.3619206955
265	0.3618445088
266	0.3617018512
267	0.3615137021
268	0.3613148612
269	0.3612054072
270	0.3610523001
271	0.3608457126
272	0.3607326849
273	0.3605247918
274	0.3603628283
275	0.3601526139
276	0.3600129963
277	0.3598186629
278	0.3597012408
279	0.3595449903
280	0.3592913444
281	0.3591095364
282	0.3589664382
283	0.3587525451
284	0.3585161196
285	0.3584062779
286	0.3582922257
287	0.3581173832
288	0.3580618851
289	0.3578668292
290	0.3576641256
291	0.3575263464
292	0.3573576884
293	0.3571951938
294	0.3571062402
295	0.3569550898
296	0.356687064
297	0.3564867642
298	0.3563683019
299	0.3561830899
300	0.3560232452
301	0.3558335343
302	0.3556912584
303	0.3555737139
304	0.3554637959
305	0.3553381079
306	0.3551286401
307	0.3548980189
308	0.3546524579
309	0.3544923948
310	0.3543455632
311	0.354240456
312	0.3540315915
313	0.3537025606
314	0.3535064067
315	0.3533236152
316	0.3532501068
317	0.3530872981
318	0.3529166427
319	0.3529116808
320	0.3527565543
321	0.3526545732
322	0.3525020738
323	0.352392149
324	0.3521799661
325	0.3519550129
326	0.3518484567
327	0.3516261905
328	0.3513789045
329	0.3512680208
330	0.3511097051
331	0.350955857
332	0.3508448842
333	0.3507790738
334	0.3505698176
335	0.3503970818
336	0.350228409
337	0.3501197123
338	0.350000903
339	0.3497562025
340	0.3496043134
341	0.3493903492
342	0.3491816755
343	0.3489664671
344	0.3488306531
345	0.3487162696
346	0.348582388
347	0.3483443979
348	0.3481503845
349	0.3480724855
350	0.3478826989
351	0.3476332031
