iter	Passed	Remaining
0	21	21631
1	37	18467
2	51	17194
3	67	16755
4	72	14517
5	78	12938
6	97	13873
7	102	12755
8	108	11963
9	114	11287
10	129	11668
11	144	11885
12	150	11415
13	158	11169
14	164	10799
15	173	10692
16	178	10337
17	183	10018
18	189	9776
19	194	9520
20	199	9292
21	204	9088
22	209	8894
23	214	8714
24	219	8558
25	224	8406
26	229	8269
27	235	8164
28	240	8038
29	245	7923
30	258	8091
31	265	8016
32	281	8244
33	286	8135
34	291	8033
35	295	7926
36	301	7836
37	306	7766
38	312	7696
39	337	8091
40	342	8006
41	347	7918
42	351	7833
43	357	7772
44	363	7719
45	388	8063
46	394	7991
47	404	8022
48	410	7958
49	417	7941
50	422	7869
51	428	7811
52	449	8033
53	454	7964
54	459	7901
55	465	7854
56	480	7952
57	486	7894
58	492	7848
59	526	8248
60	531	8183
61	536	8122
62	542	8072
63	547	8010
64	552	7953
65	572	8102
66	577	8045
67	583	7991
68	587	7933
69	592	7875
70	597	7821
71	602	7771
72	607	7718
73	612	7667
74	617	7621
75	622	7572
76	627	7526
77	632	7480
78	638	7440
79	643	7402
80	648	7361
81	653	7320
82	658	7279
83	664	7241
84	669	7208
85	675	7176
86	693	7282
87	698	7244
88	703	7204
89	709	7171
90	739	7382
91	743	7342
92	748	7304
93	754	7268
94	759	7232
95	764	7194
96	769	7159
97	774	7125
98	779	7092
99	786	7082
100	791	7048
101	796	7016
102	815	7104
103	821	7074
104	827	7050
105	832	7023
106	844	7048
107	850	7020
108	859	7028
109	864	6997
110	869	6967
111	874	6936
112	879	6904
113	884	6873
114	889	6846
115	894	6820
116	913	6894
117	918	6865
118	923	6837
119	928	6809
120	933	6782
121	938	6754
122	943	6726
123	948	6702
124	953	6677
125	959	6657
126	965	6634
127	971	6615
128	977	6598
129	994	6658
130	999	6632
131	1004	6607
132	1009	6582
133	1014	6556
134	1020	6536
135	1025	6515
136	1039	6546
137	1044	6522
138	1049	6498
139	1069	6570
140	1074	6545
141	1080	6526
142	1086	6510
143	1114	6627
144	1119	6602
145	1124	6579
146	1145	6646
147	1150	6623
148	1159	6622
149	1165	6604
150	1171	6587
151	1176	6566
152	1182	6543
153	1187	6521
154	1192	6499
155	1197	6478
156	1203	6459
157	1208	6438
158	1212	6415
159	1218	6397
160	1224	6379
161	1229	6361
162	1235	6343
163	1248	6363
164	1253	6342
165	1258	6321
166	1263	6301
167	1268	6280
168	1273	6259
169	1292	6311
170	1297	6290
171	1307	6295
172	1312	6275
173	1317	6254
174	1322	6236
175	1327	6215
176	1332	6196
177	1337	6177
178	1361	6243
179	1366	6225
180	1371	6206
181	1376	6186
182	1382	6172
183	1414	6272
184	1419	6253
185	1424	6234
186	1445	6283
187	1450	6264
188	1455	6244
189	1460	6226
190	1465	6207
191	1470	6188
192	1475	6170
193	1480	6151
194	1485	6131
195	1491	6119
196	1507	6143
197	1511	6124
198	1516	6105
199	1521	6086
200	1526	6069
201	1532	6053
202	1538	6039
203	1552	6057
204	1557	6040
205	1562	6023
206	1568	6007
207	1573	5991
208	1578	5973
209	1599	6016
210	1604	6000
211	1614	6000
212	1619	5983
213	1624	5966
214	1630	5952
215	1644	5968
216	1649	5951
217	1654	5935
218	1660	5920
219	1674	5936
220	1679	5919
221	1684	5902
222	1689	5885
223	1714	5938
224	1735	5976
225	1740	5960
226	1745	5945
227	1751	5931
228	1764	5939
229	1769	5922
230	1773	5905
231	1779	5889
232	1784	5873
233	1789	5856
234	1794	5843
235	1799	5826
236	1804	5810
237	1811	5798
238	1825	5813
239	1842	5833
240	1857	5849
241	1862	5835
242	1868	5820
243	1873	5804
244	1878	5789
245	1884	5774
246	1903	5802
247	1907	5785
248	1912	5768
249	1917	5753
250	1922	5737
251	1927	5721
252	1933	5707
253	1937	5691
254	1942	5676
255	1948	5662
256	1953	5647
257	1958	5632
258	1963	5618
259	1968	5603
260	1973	5588
261	1993	5615
262	1998	5600
263	2003	5584
264	2008	5571
265	2025	5588
266	2030	5573
267	2034	5558
268	2040	5543
269	2044	5528
270	2049	5514
271	2056	5503
272	2061	5489
273	2066	5474
274	2071	5461
275	2076	5447
276	2081	5433
277	2086	5419
278	2091	5405
279	2097	5392
280	2101	5378
281	2106	5364
282	2112	5351
283	2118	5339
284	2123	5327
285	2129	5316
286	2146	5331
287	2153	5322
288	2160	5314
289	2178	5333
290	2184	5321
291	2193	5318
292	2205	5321
293	2211	5309
294	2217	5298
295	2223	5287
296	2229	5276
297	2237	5270
298	2244	5261
299	2254	5259
300	2261	5251
301	2268	5243
302	2283	5253
303	2289	5241
304	2297	5235
305	2303	5225
306	2315	5226
307	2320	5214
308	2326	5203
309	2332	5191
310	2339	5182
311	2347	5176
312	2353	5166
313	2361	5158
314	2375	5166
315	2382	5156
