iter	Logloss
0	0.6730290367
1	0.6534969421
2	0.6350917782
3	0.6184176755
4	0.6038479167
5	0.5892915758
6	0.5771276469
7	0.5658749141
8	0.5558844867
9	0.5455436795
10	0.5374289588
11	0.5299094143
12	0.5224106079
13	0.5156265828
14	0.5096102394
15	0.5038340422
16	0.4988636497
17	0.4943045633
18	0.4899147549
19	0.4861400968
20	0.4824084768
21	0.4793680313
22	0.4765799799
23	0.4735391207
24	0.4708201442
25	0.4684727
26	0.4660229101
27	0.4637067054
28	0.46166159
29	0.4598099344
30	0.4579321424
31	0.4563893003
32	0.4548921366
33	0.4535682514
34	0.4520714382
35	0.4507534233
36	0.4496896537
37	0.4484304113
38	0.4471404208
39	0.44592972
40	0.445110446
41	0.4441411393
42	0.4432124436
43	0.4424445116
44	0.4418195201
45	0.4411444947
46	0.4403268598
47	0.4396127397
48	0.4388690406
49	0.4382916084
50	0.4376764863
51	0.4370778438
52	0.4365489013
53	0.436004582
54	0.4354780907
55	0.4350097767
56	0.4345237211
57	0.4340653201
58	0.4337239507
59	0.4333282263
60	0.4328927418
61	0.4324953959
62	0.432136534
63	0.4317408968
64	0.4313622334
65	0.4310009069
66	0.4307446969
67	0.4303973666
68	0.4301597885
69	0.4299255909
70	0.4296525346
71	0.4293943539
72	0.4291715894
73	0.428972894
74	0.428716546
75	0.4285894922
76	0.428398001
77	0.4281585502
78	0.4279670283
79	0.4277527335
80	0.4276001824
81	0.4274338921
82	0.4272093982
83	0.42703248
84	0.4268468935
85	0.4266597761
86	0.426490555
87	0.4263676162
88	0.426268001
89	0.4261153136
90	0.4259603611
91	0.4257724359
92	0.4256909681
93	0.4255911
94	0.4254767231
95	0.4253032673
96	0.4251879341
97	0.4250899259
98	0.4249761779
99	0.4247837439
100	0.424655622
101	0.4245448483
102	0.4244312008
103	0.4243306986
104	0.4242498812
105	0.4241625222
106	0.4240276828
107	0.4239267282
108	0.4238180391
109	0.4237989212
110	0.4237050091
111	0.4236722009
112	0.4235767702
113	0.4234543152
114	0.4233699626
115	0.4232627933
116	0.423177359
117	0.4230912583
118	0.4230079325
119	0.4229001146
120	0.4228404592
121	0.4227601036
122	0.4226518594
123	0.4225673514
124	0.422459937
125	0.4224070365
126	0.4223328857
127	0.422252232
128	0.4221845344
129	0.4221236033
130	0.4220523361
131	0.4219780002
132	0.4218604449
133	0.4217914175
134	0.4217164684
135	0.4216433796
136	0.4215815434
137	0.4215276859
138	0.4214524486
139	0.4213749711
140	0.4212899898
141	0.4212266251
142	0.4211640581
143	0.4211465578
144	0.4210731302
145	0.4210265519
146	0.4209645822
147	0.4208860367
148	0.4208453494
149	0.4207752883
150	0.4207200119
151	0.4206222608
152	0.4205504042
153	0.4205065619
154	0.4204456219
155	0.4203754358
156	0.4203035617
157	0.4202299461
158	0.4201698898
159	0.4201118524
160	0.4200608054
161	0.420051237
162	0.4200002244
163	0.4199159537
