iter	Passed	Remaining
0	197	394988
1	207	207052
2	214	142915
3	220	110264
4	228	91071
5	235	78325
6	242	69141
7	250	62369
8	257	56986
9	264	52707
10	270	48936
11	276	45802
12	283	43348
13	290	41197
14	297	39341
15	302	37561
16	309	36138
17	316	34835
18	323	33712
19	329	32654
20	336	31757
21	342	30778
22	347	29907
23	354	29211
24	361	28563
25	369	28016
26	375	27455
27	382	26932
28	389	26458
29	395	26002
30	402	25577
31	409	25169
32	415	24791
33	422	24436
34	429	24100
35	435	23779
36	441	23422
37	448	23149
38	455	22891
39	462	22644
40	468	22387
41	475	22163
42	482	21946
43	489	21740
44	494	21476
45	501	21297
46	508	21121
47	515	20951
48	521	20780
49	528	20628
50	535	20468
51	542	20316
52	549	20172
53	555	20028
54	562	19890
55	569	19771
56	576	19641
57	583	19527
58	588	19371
59	595	19257
60	602	19146
61	609	19039
62	615	18938
63	622	18834
64	629	18741
65	636	18646
66	643	18551
67	649	18464
68	656	18371
69	662	18277
70	669	18194
71	676	18120
72	683	18035
73	689	17950
74	696	17881
75	700	17733
76	707	17661
77	714	17597
78	720	17527
79	727	17462
80	733	17372
81	740	17309
82	746	17248
83	753	17189
84	760	17135
85	767	17084
86	774	17028
87	781	16972
88	788	16924
89	795	16882
90	802	16835
91	809	16797
92	815	16720
93	822	16673
94	829	16632
95	836	16590
96	843	16556
97	849	16493
98	856	16448
99	863	16411
100	870	16369
101	878	16345
102	886	16336
103	894	16305
104	900	16245
105	907	16213
106	914	16177
107	921	16139
108	928	16105
109	931	16013
110	938	15974
111	943	15906
112	950	15869
113	957	15833
114	963	15794
115	970	15759
116	977	15735
117	984	15698
118	990	15663
119	997	15632
120	1003	15577
121	1009	15545
122	1016	15514
123	1023	15485
124	1030	15456
125	1036	15411
126	1043	15383
127	1049	15353
128	1057	15334
129	1064	15312
130	1071	15285
131	1078	15257
132	1085	15233
133	1091	15203
134	1098	15176
135	1105	15151
136	1112	15122
137	1119	15101
138	1125	15073
139	1132	15047
140	1139	15022
141	1146	14996
142	1152	14970
143	1158	14927
144	1164	14902
145	1172	14886
146	1179	14872
147	1186	14853
148	1192	14816
149	1199	14792
150	1206	14771
151	1213	14749
152	1220	14728
153	1226	14703
154	1233	14679
155	1240	14659
156	1246	14635
157	1253	14613
158	1259	14588
159	1266	14566
160	1273	14546
161	1277	14490
162	1283	14468
163	1290	14447
164	1297	14424
165	1302	14393
166	1309	14371
167	1312	14316
168	1319	14297
169	1326	14276
170	1333	14258
171	1339	14239
172	1346	14218
173	1353	14198
174	1359	14178
175	1366	14159
176	1373	14141
177	1379	14122
178	1385	14093
179	1392	14076
180	1399	14060
181	1405	14035
182	1411	14014
183	1418	13995
184	1425	13983
185	1432	13968
186	1439	13953
187	1445	13936
188	1452	13920
189	1459	13903
190	1466	13887
191	1472	13869
192	1479	13852
193	1486	13835
194	1490	13797
195	1497	13781
196	1504	13766
197	1511	13753
198	1517	13737
199	1524	13721
200	1531	13705
201	1537	13688
202	1545	13679
203	1553	13677
204	1561	13673
205	1569	13666
206	1576	13657
207	1585	13660
208	1594	13665
209	1602	13658
210	1609	13643
211	1615	13627
212	1622	13614
213	1629	13599
214	1636	13585
215	1643	13572
216	1649	13557
217	1653	13512
218	1658	13486
219	1665	13473
220	1671	13457
221	1678	13444
222	1685	13431
223	1692	13417
224	1699	13403
225	1705	13385
226	1711	13371
227	1719	13361
228	1725	13347
229	1732	13334
230	1739	13321
231	1746	13306
232	1753	13294
233	1759	13280
234	1766	13266
235	1772	13251
236	1778	13231
237	1785	13218
238	1791	13203
239	1796	13171
240	1802	13159
241	1809	13145
242	1816	13131
243	1822	13119
244	1829	13105
245	1836	13091
246	1843	13080
247	1849	13067
248	1856	13053
249	1863	13046
250	1871	13039
251	1878	13029
252	1886	13025
253	1893	13014
254	1900	13007
255	1907	12995
256	1915	12988
257	1922	12977
258	1929	12966
259	1935	12955
260	1939	12921
261	1946	12911
262	1953	12901
263	1956	12864
264	1962	12850
265	1970	12842
266	1977	12832
267	1984	12824
268	1991	12813
269	1998	12805
270	2005	12794
271	2012	12785
272	2019	12775
273	2026	12764
274	2033	12755
275	2040	12746
276	2048	12741
277	2055	12731
278	2062	12723
279	2069	12712
280	2076	12704
281	2083	12694
282	2090	12683
283	2098	12678
284	2106	12675
285	2114	12669
286	2120	12659
287	2128	12650
288	2135	12640
289	2141	12629
290	2148	12616
291	2154	12604
292	2161	12594
293	2168	12582
294	2175	12574
295	2184	12573
296	2191	12565
297	2198	12555
298	2204	12543
299	2211	12532
300	2218	12521
301	2224	12508
302	2230	12491
303	2236	12478
304	2243	12467
305	2249	12455
306	2254	12433
307	2261	12422
308	2268	12411
309	2274	12399
310	2281	12388
311	2287	12373
312	2293	12361
